Protein,Protein Name,Gene Name,Function,ProteinGroup,FastaHeaders,Proteins,Peptides,RazorUniquePeptides,UniquePeptides,Coverage,MolWeight,LFQ intensity C-1,LFQ intensity C-2,LFQ intensity C-3,LFQ intensity T-1,LFQ intensity T-2,LFQ intensity T-3,Identified or Quantified
X5D7K9,Major vault protein isoform C (Fragment),MVP,,X5D7K9;B4DXN0;X5D2M8;Q14764;X5D7S8;B4DP93;X5DNU0;B4DDR2;H3BUK7;H3BNF6;H3BRL2;H3BQK6;X5DP17;X5D7R7;X5DP24,"X5D7K9_HUMAN Major vault protein isoform C (Fragment) OS=Homo sapiens OX=9606 GN=MVP PE=2 SV=1;B4DXN0_HUMAN cDNA FLJ53371, highly similar to Major vault protein OS=Homo sapiens OX=9606 PE=2 SV=1;X5D2M8_HUMAN Major vault protein isoform A (Fragment) OS=Homo",15,3,3,3,4.8,91.958,,14404000,11559000,12531000,10550000,10975000,Quantified
B4DY09,Interleukin enhancer-binding factor 2,ILF2,,B4DY09;Q53FG3;F4ZW62;Q12905;F4ZW63;X6R6Z1;A0A0A0MRL0,B4DY09_HUMAN Interleukin enhancer-binding factor 2 OS=Homo sapiens OX=9606 GN=ILF2 PE=1 SV=1;Q53FG3_HUMAN Interleukin enhancer binding factor 2 variant (Fragment) OS=Homo sapiens OX=9606 PE=2 SV=1;F4ZW62_HUMAN NF45 OS=Homo sapiens OX=9606 PE=1 SV=1;ILF2_HU,7,9,9,9,31.5,38.91,186470000,189620000,197420000,188200000,193160000,183660000,Quantified
S4R3D6,Methylthioribulose-1-phosphate dehydratase,APIP,,S4R3D6;B4DY17;Q96GX9,S4R3D6_HUMAN Methylthioribulose-1-phosphate dehydratase OS=Homo sapiens OX=9606 GN=APIP PE=1 SV=1;B4DY17_HUMAN Methylthioribulose-1-phosphate dehydratase OS=Homo sapiens OX=9606 GN=APIP PE=2 SV=1;MTNB_HUMAN Methylthioribulose-1-phosphate dehydratase OS=Hom,3,2,2,2,14.9,21.956,10633000,11406000,11942000,15933000,15159000,16363000,Quantified
F8W9P3,E3 ubiquitin-protein ligase TRIP12 (Fragment),TRIP12,,F8W9P3;C9JLJ5;C9JSX9;C9JLD7;B4DYJ6;G5E9G6;Q14669,F8W9P3_HUMAN E3 ubiquitin-protein ligase TRIP12 (Fragment) OS=Homo sapiens OX=9606 GN=TRIP12 PE=1 SV=1;C9JLJ5_HUMAN E3 ubiquitin-protein ligase TRIP12 (Fragment) OS=Homo sapiens OX=9606 GN=TRIP12 PE=1 SV=1;C9JSX9_HUMAN E3 ubiquitin-protein ligase TRIP12 (F,7,1,1,1,15.2,10.629,,,,,,,Identified
Q32Q67,DNM1L protein (Fragment),DNM1L,,Q32Q67;D3DUW7;D3DUW6;B4DYR6;D3DUW5;O00429,"Q32Q67_HUMAN DNM1L protein (Fragment) OS=Homo sapiens OX=9606 GN=DNM1L PE=2 SV=1;D3DUW7_HUMAN Dynamin 1-like, isoform CRA_a OS=Homo sapiens OX=9606 GN=DNM1L PE=3 SV=1;D3DUW6_HUMAN Dynamin 1-like, isoform CRA_f OS=Homo sapiens OX=9606 GN=DNM1L PE=3 SV=1;B4D",6,1,1,1,1.7,64.147,7145000,,,,5184200,,Identified
B4DYY5,"cDNA FLJ55671, highly similar to Ubiquitin-associated protein 2-like",,,B4DYY5;F8W726;Q14157;Q5VU81;Q5VU80;Q5VU79;Q5VU78;Q5VU77;B4DZJ6,"B4DYY5_HUMAN cDNA FLJ55671, highly similar to Ubiquitin-associated protein 2-like OS=Homo sapiens OX=9606 PE=2 SV=1;F8W726_HUMAN Ubiquitin-associated protein 2-like OS=Homo sapiens OX=9606 GN=UBAP2L PE=1 SV=2;UBP2L_HUMAN Ubiquitin-associated protein 2-like",9,2,2,2,2.7,113.56,10501000,7700800,11665000,10325000,,,Quantified
B4E0V3,"cDNA FLJ61519, highly similar to Leukocyte common antigen",,,B4E0V3;P08575;E9PKH0;M3ZCP1;B4DSZ5;A0A075B788;Q6PJK7,"B4E0V3_HUMAN cDNA FLJ61519, highly similar to Leukocyte common antigen OS=Homo sapiens OX=9606 PE=2 SV=1;PTPRC_HUMAN Receptor-type tyrosine-protein phosphatase C OS=Homo sapiens OX=9606 GN=PTPRC PE=1 SV=3",7,5,5,5,5.2,107.24,148310000,117760000,132400000,137770000,133310000,110930000,Quantified
B4E1B2,"cDNA FLJ53691, highly similar to Serotransferrin",,,B4E1B2,"B4E1B2_HUMAN cDNA FLJ53691, highly similar to Serotransferrin OS=Homo sapiens OX=9606 PE=2 SV=1",1,55,2,1,71.4,74.831,2063200000,2533700000,3192700000,2437500000,2804300000,2460100000,Quantified
B4E1R7,"cDNA FLJ58224, highly similar to Calpain-2 catalytic subunit",,,B4E1R7;Q59EF6;Q6ZVC6;B3KUH9;B4DN77;B2RCM3;P17655,"B4E1R7_HUMAN cDNA FLJ58224, highly similar to Calpain-2 catalytic subunit OS=Homo sapiens OX=9606 PE=2 SV=1;Q59EF6_HUMAN Calpain 2, large [catalytic] subunit variant (Fragment) OS=Homo sapiens OX=9606 PE=2 SV=1;Q6ZVC6_HUMAN cDNA FLJ42761 fis, clone BRAWH30",7,2,2,2,4.6,60.507,18708000,,19223000,22078000,19528000,17904000,Quantified
B4E1U9,"cDNA FLJ54776, highly similar to Cell division control protein 42 homolog",,,B4E1U9;P60953;Q5JYX0;Q9UJM1;A0A590UJK8;A0A024RAE6;B7ZAY4;B4DMH5;A0A494C1M1;Q9UJM0;A0A494BZX6;A0A024R9T1;A0A3B3IRV0;F8WET9;B1AH79;G3V4H1;G3V476;V9HWD0;Q7Z513;A0A024R692;Q59G91;P17081;Q9H4E5,"B4E1U9_HUMAN cDNA FLJ54776, highly similar to Cell division control protein 42 homolog OS=Homo sapiens OX=9606 PE=2 SV=1;CDC42_HUMAN Cell division control protein 42 homolog OS=Homo sapiens OX=9606 GN=CDC42 PE=1 SV=2;Q5JYX0_HUMAN Cell division control prot",23,4,3,3,16.9,26.528,20790000,28245000,34070000,27840000,46794000,4957600,Quantified
B4E1Z4,"cDNA FLJ55673, highly similar to Complement factor B",,,B4E1Z4;E7ETN3;H7C5H1;A0A1U9X7I0;A0A1U9X7H8;A0A1U9X7H7;A0A1U9X7H6;A0A1U9X7H5;A0A1U9X7H4;A0A1U9X7H2;P00751,"B4E1Z4_HUMAN cDNA FLJ55673, highly similar to Complement factor B OS=Homo sapiens OX=9606 PE=1 SV=1;E7ETN3_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=1 SV=1",11,5,5,2,3.6,140.94,153430000,131290000,174830000,122500000,109350000,182690000,Quantified
B7Z2R9,"cDNA FLJ52540, highly similar to Lysosome-associated membrane glycoprotein 2",,,B7Z2R9;B4E2S7;P13473,"B7Z2R9_HUMAN cDNA FLJ52540, highly similar to Lysosome-associated membrane glycoprotein 2 OS=Homo sapiens OX=9606 PE=2 SV=1;B4E2S7_HUMAN cDNA FLJ58780, highly similar to Homo sapiens lysosomal-associated membrane protein 2 (LAMP2), transcript variant LAMP2",3,1,1,1,3,32.979,24376000,,33200000,25177000,14943000,,Quantified
B4E324,"cDNA FLJ60397, highly similar to Lysosomal protective protein",,,B4E324;X6R5C5;Q59EV6;X6R8A1;P10619;Q5JZH0;U3KQ41;U3KQU6,"B4E324_HUMAN cDNA FLJ60397, highly similar to Lysosomal protective protein OS=Homo sapiens OX=9606 PE=2 SV=1;X6R5C5_HUMAN Carboxypeptidase OS=Homo sapiens OX=9606 GN=CTSA PE=1 SV=1;Q59EV6_HUMAN Carboxypeptidase (Fragment) OS=Homo sapiens OX=9606 GN=PPGB PE",8,4,4,4,9,54.269,437370000,589180000,643520000,555930000,668980000,410040000,Quantified
E9PNX5,Dipeptidyl peptidase 3 (Fragment),DPP3,,E9PNX5;E9PKK8;E9PQ14;E9PPK9;B4E357;Q5JPB8;Q53HL4;Q53GT4;G3V1D3;G3V180;Q9NY33,E9PNX5_HUMAN Dipeptidyl peptidase 3 (Fragment) OS=Homo sapiens OX=9606 GN=DPP3 PE=1 SV=1;E9PKK8_HUMAN Dipeptidyl peptidase 3 (Fragment) OS=Homo sapiens OX=9606 GN=DPP3 PE=1 SV=1;E9PQ14_HUMAN Dipeptidyl peptidase 3 (Fragment) OS=Homo sapiens OX=9606 GN=DPP3,11,1,1,1,16.3,11.744,,,,,,,Identified
B4E367,"cDNA FLJ61564, highly similar to Plexin domain-containing protein 2",,,B4E367;Q6UX71,"B4E367_HUMAN cDNA FLJ61564, highly similar to Plexin domain-containing protein 2 OS=Homo sapiens OX=9606 PE=2 SV=1;PXDC2_HUMAN Plexin domain-containing protein 2 OS=Homo sapiens OX=9606 GN=PLXDC2 PE=1 SV=1",2,5,5,5,11.8,58.183,86196000,79905000,107560000,86533000,82165000,103750000,Quantified
B4E3A8,"cDNA FLJ53963, highly similar to Leukocyte elastase inhibitor",,,B4E3A8;V9HWH1;P30740;H7BXK7;C9J7N5;A0A1B0GU38;B2R9H3;A0A024R2B1;A0A024QZT4;B4DDY9;A0A0C4DGW9;P50452;P50453;O75830,"B4E3A8_HUMAN cDNA FLJ53963, highly similar to Leukocyte elastase inhibitor OS=Homo sapiens OX=9606 PE=2 SV=1;V9HWH1_HUMAN Epididymis luminal protein 57 OS=Homo sapiens OX=9606 GN=HEL57 PE=2 SV=1;ILEU_HUMAN Leukocyte elastase inhibitor OS=Homo sapiens OX=96",14,2,2,2,5.9,38.685,45313000,51694000,50097000,40299000,43662000,59495000,Quantified
C9J6N9,Ubiquitin recognition factor in ER-associated degradation protein 1 (Fragment),UFD1,,C9J6N9;Q541A5;B4E3I3;Q92890;C9JNP9;C9IZG3;B7Z9N3,"C9J6N9_HUMAN Ubiquitin recognition factor in ER-associated degradation protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=UFD1 PE=1 SV=8;Q541A5_HUMAN Ubiquitin fusion degradation 1 like (Yeast), isoform CRA_b OS=Homo sapiens OX=9606 GN=UFD1L PE=2 SV=1;B4E3I3_",7,2,2,2,20.7,15.372,5579400,5331100,4489900,,8723100,,Quantified
Q6IBR8,"Eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa",EIF2S2,,Q6IBR8;B5BU01;P20042;Q3B7I9;Q59GZ3;Q96I16,"Q6IBR8_HUMAN Eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa OS=Homo sapiens OX=9606 GN=EIF2S2 PE=2 SV=1;B5BU01_HUMAN Eukaryotic translation initiation factor 2 beta OS=Homo sapiens OX=9606 GN=EIF2S2 PE=2 SV=1;IF2B_HUMAN Eukaryotic transl",6,4,4,4,14.1,38.388,12632000,13496000,31194000,,17076000,17347000,Quantified
B5BU83,Stathmin,STMN1,,B5BU83;P16949;A2A2D0;Q59G27;Q96CE4;A0A140VJW2;B7Z4K3;E5RGX5;B7Z4N6;Q93045,B5BU83_HUMAN Stathmin OS=Homo sapiens OX=9606 GN=STMN1 PE=2 SV=1;STMN1_HUMAN Stathmin OS=Homo sapiens OX=9606 GN=STMN1 PE=1 SV=3;A2A2D0_HUMAN Stathmin (Fragment) OS=Homo sapiens OX=9606 GN=STMN1 PE=1 SV=8;Q59G27_HUMAN Stathmin (Fragment) OS=Homo sapiens OX,10,3,3,3,22.8,17.33,59132000,25132000,30117000,13127000,24740000,6813100,Quantified
B5MC96,HCLS1-binding protein 3,HS1BP3,,B5MC96;F6TR53;Q9H7U7;Q53T59;A0A0D9SFN1;A0A494C0K6,"B5MC96_HUMAN HCLS1-binding protein 3 OS=Homo sapiens OX=9606 GN=HS1BP3 PE=1 SV=1;F6TR53_HUMAN HCLS1-binding protein 3 OS=Homo sapiens OX=9606 GN=HS1BP3 PE=1 SV=1;Q9H7U7_HUMAN cDNA FLJ14249 fis, clone OVARC1001200, weakly similar to Mus musculus HS1 binding",6,2,2,2,10.6,21.883,,,,1104800,,,Identified
B5MCZ9,Glutaminyl-peptide cyclotransferase (Fragment),QPCT,,B5MCZ9;Q16769;A0A3B3IUD5,B5MCZ9_HUMAN Glutaminyl-peptide cyclotransferase (Fragment) OS=Homo sapiens OX=9606 GN=QPCT PE=1 SV=1;QPCT_HUMAN Glutaminyl-peptide cyclotransferase OS=Homo sapiens OX=9606 GN=QPCT PE=1 SV=1;A0A3B3IUD5_HUMAN Glutaminyl-peptide cyclotransferase (Fragment) O,3,3,3,3,12.7,32.107,198580000,171980000,186470000,193670000,225120000,132510000,Quantified
B5MDF5,GTP-binding nuclear protein Ran,RAN,GTP-binding protein involved in nucleocytoplasmic transport. Required for the import of protein into the nucleus and also for RNA export. Involved in chromatin condensation and control of cell cycle.,B5MDF5;P62826;J3KQE5;F5H018;H0YFC6;B4DV51;A0A087X0W0;Q96QB7;Q0EFC9,B5MDF5_HUMAN GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=1;RAN_HUMAN GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=3;J3KQE5_HUMAN GTP-binding nuclear protein Ran (Fragment) OS=Homo sapiens OX=9606 GN=RAN ,9,7,7,7,33.5,26.224,149590000,97703000,122150000,159570000,123040000,147630000,Quantified
Q6FGX2,TNNI3 protein,TNNI3,,Q6FGX2;Q6FGU5;B6D427;P19429;A8CN18;K7EN02;A0A590UJN1,"Q6FGX2_HUMAN TNNI3 protein OS=Homo sapiens OX=9606 GN=TNNI3 PE=1 SV=1;Q6FGU5_HUMAN TNNI3 protein (Fragment) OS=Homo sapiens OX=9606 GN=TNNI3 PE=2 SV=1;B6D427_HUMAN Mutant cardiac troponin I OS=Homo sapiens OX=9606 GN=TNNI3 PE=2 SV=1;TNNI3_HUMAN Troponin I,",7,2,2,2,9.5,24.007,3844000,77647000,,15169000,20556000,53431000,Quantified
B7Z1F8,"cDNA FLJ53025, highly similar to Complement C4-B",,,B7Z1F8,"B7Z1F8_HUMAN cDNA FLJ53025, highly similar to Complement C4-B OS=Homo sapiens OX=9606 PE=2 SV=1",1,1,1,1,6.3,30.444,,,,,,8911700,Identified
F5GY55,DNA damage-binding protein 1,DDB1,,F5GY55;B7Z2A1;Q16531;B4DZP5;B4DSA8;F5GWI0;F5H2L3;F5GYG8;F5GZY8;F5H198,"F5GY55_HUMAN DNA damage-binding protein 1 OS=Homo sapiens OX=9606 GN=DDB1 PE=1 SV=1;B7Z2A1_HUMAN cDNA FLJ56068, highly similar to DNA damage-binding protein 1 OS=Homo sapiens OX=9606 PE=2 SV=1;DDB1_HUMAN DNA damage-binding protein 1 OS=Homo sapiens OX=9606",10,8,8,8,9.9,121.71,43629000,37006000,41023000,45820000,41638000,36328000,Quantified
B7Z2R1,"cDNA FLJ55344, highly similar to Dysferlin",,,B7Z2R1;O75923,"B7Z2R1_HUMAN cDNA FLJ55344, highly similar to Dysferlin OS=Homo sapiens OX=9606 PE=2 SV=1;DYSF_HUMAN Dysferlin OS=Homo sapiens OX=9606 GN=DYSF PE=1 SV=1",2,1,1,1,1.9,110.85,,,,,9868200,,Identified
B7Z3V1,Sodium/potassium-transporting ATPase subunit alpha (Fragment),,,B7Z3V1;P05023,B7Z3V1_HUMAN Sodium/potassium-transporting ATPase subunit alpha (Fragment) OS=Homo sapiens OX=9606 PE=2 SV=1;AT1A1_HUMAN Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens OX=9606 GN=ATP1A1 PE=1 SV=1,2,6,6,2,9.5,112.44,21040000,31851000,23946000,15217000,21289000,31571000,Quantified
Q4VB96,EPB42 protein,EPB42,,Q4VB96;F5H563;B7Z4Q8;B7Z4C3;P16452,"Q4VB96_HUMAN EPB42 protein OS=Homo sapiens OX=9606 GN=EPB42 PE=2 SV=1;F5H563_HUMAN Erythrocyte membrane protein band 4.2 OS=Homo sapiens OX=9606 GN=EPB42 PE=1 SV=1;B7Z4Q8_HUMAN cDNA FLJ52333, highly similar to Erythrocyte membrane protein band 4.2 OS=Homo ",5,1,1,1,3.1,39.559,18596000,21580000,21794000,11208000,22067000,21282000,Quantified
E7EQ29,Beta-galactosidase,GLB1,,E7EQ29;B7Z5H9;Q53H18;Q53G40;B7Z6Q5;P16278,"E7EQ29_HUMAN Beta-galactosidase OS=Homo sapiens OX=9606 GN=GLB1 PE=1 SV=1;B7Z5H9_HUMAN cDNA FLJ53291, highly similar to Beta-galactosidase-related protein OS=Homo sapiens OX=9606 PE=2 SV=1;Q53H18_HUMAN Beta-galactosidase (Fragment) OS=Homo sapiens OX=9606 ",6,2,2,1,4.8,60.482,34470000,72322000,52294000,27097000,40656000,52011000,Quantified
K7EIJ4,Ran-binding protein 3 (Fragment),RANBP3,,K7EIJ4;B7Z5P4;Q308M8;B7Z7F3;Q53GE1;Q9H6Z4,"K7EIJ4_HUMAN Ran-binding protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=RANBP3 PE=1 SV=1;B7Z5P4_HUMAN cDNA FLJ55542, highly similar to Ran-binding protein 3 OS=Homo sapiens OX=9606 PE=2 SV=1;Q308M8_HUMAN RAN binding protein 3 transcript variant a OS=Homo ",6,1,1,1,9.7,16.965,4518000,,,4648500,3250400,,Quantified
B7Z5P7,Leupaxin,LPXN,"Transcriptional coactivator for androgen receptor (AR) and serum response factor (SRF). Contributes to the regulation of cell adhesion, spreading and cell migration and acts as a negative regulator in integrin-mediated cell adhesion events. Suppresses the integrin-induced tyrosine phosphorylation of paxillin (PXN).",B7Z5P7;O60711,B7Z5P7_HUMAN Leupaxin OS=Homo sapiens OX=9606 GN=LPXN PE=1 SV=1;LPXN_HUMAN Leupaxin OS=Homo sapiens OX=9606 GN=LPXN PE=1 SV=1,2,2,2,2,2.7,41.643,4445400,4262500,3923000,4518300,3874200,4397500,Quantified
B7Z5V6,"cDNA FLJ57046, highly similar to Lysosomal alpha-glucosidase",,,B7Z5V6;A0A024R8Q1;P10253,"B7Z5V6_HUMAN cDNA FLJ57046, highly similar to Lysosomal alpha-glucosidase OS=Homo sapiens OX=9606 PE=2 SV=1",3,3,3,3,3.1,71.795,61012000,42140000,57366000,48791000,36513000,30075000,Quantified
B7Z7P8,Eukaryotic peptide chain release factor subunit 1,ETF1,,B7Z7P8;P62495;I3L492;D6RCB3;D6RJE8,B7Z7P8_HUMAN Eukaryotic peptide chain release factor subunit 1 OS=Homo sapiens OX=9606 GN=ETF1 PE=1 SV=1;ERF1_HUMAN Eukaryotic peptide chain release factor subunit 1 OS=Homo sapiens OX=9606 GN=ETF1 PE=1 SV=3,5,6,6,6,16.8,47.475,22737000,27980000,28474000,25635000,26319000,25553000,Quantified
B7Z7Z8,Peptidylprolyl isomerase,,,B7Z7Z8;B7Z8G2;Q6ZR21;Q53GX4;Q2TA84;Q13451,B7Z7Z8_HUMAN Peptidylprolyl isomerase OS=Homo sapiens OX=9606 PE=2 SV=1;B7Z8G2_HUMAN Peptidylprolyl isomerase OS=Homo sapiens OX=9606 PE=2 SV=1;Q6ZR21_HUMAN Peptidylprolyl isomerase OS=Homo sapiens OX=9606 PE=2 SV=1;Q53GX4_HUMAN Peptidylprolyl isomerase (F,6,2,2,2,6.8,31.605,13135000,10373000,13704000,10342000,12406000,,Quantified
B7Z8E7,"cDNA FLJ55400, highly similar to Protein OS-9",,,B7Z8E7;Q13438;F8VZI7;F8W1V2;Q9BR60;B4E321,"B7Z8E7_HUMAN cDNA FLJ55400, highly similar to Protein OS-9 OS=Homo sapiens OX=9606 PE=2 SV=1;OS9_HUMAN Protein OS-9 OS=Homo sapiens OX=9606 GN=OS9 PE=1 SV=1;F8VZI7_HUMAN Protein OS-9 (Fragment) OS=Homo sapiens OX=9606 GN=OS9 PE=1 SV=1;F8W1V2_HUMAN Protein ",6,2,2,2,3.6,83.568,,,,,4867900,,Identified
B7Z992,"cDNA FLJ53698, highly similar to Gelsolin",,,B7Z992;B7Z2X4;A0A0A0MS51;B7Z9A0;B7Z6N2;A0A0A0MT01;A0A384MEF1;P06396;B7Z4U6;B3KS49;Q5T0I0;A0A0U1RQL8;Q69YR8;Q5T0H8;V9H1C1,"B7Z992_HUMAN cDNA FLJ53698, highly similar to Gelsolin OS=Homo sapiens OX=9606 PE=2 SV=1;B7Z2X4_HUMAN cDNA FLJ53327, highly similar to Gelsolin OS=Homo sapiens OX=9606 PE=2 SV=1;A0A0A0MS51_HUMAN Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1;B7Z9A0_HUMA",15,17,4,4,29.8,78.831,1271700000,1010500000,1290800000,1321100000,1195900000,980460000,Quantified
B7ZAF0,Tubulin beta chain,,"Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain.",B7ZAF0,B7ZAF0_HUMAN Tubulin beta chain OS=Homo sapiens OX=9606 PE=2 SV=1,1,13,1,1,40.2,46.566,,380850000,,24643000,,335110000,Quantified
X5D7M1,Neuropilin 2 isoform B (Fragment),NRP2,,X5D7M1;B7ZL68;O60462;Q7Z3T9;A8K4G9;Q96GU8;C9JH98,X5D7M1_HUMAN Neuropilin 2 isoform B (Fragment) OS=Homo sapiens OX=9606 GN=NRP2 PE=2 SV=1;B7ZL68_HUMAN Neuropilin OS=Homo sapiens OX=9606 GN=NRP2 PE=2 SV=1;NRP2_HUMAN Neuropilin-2 OS=Homo sapiens OX=9606 GN=NRP2 PE=1 SV=3;Q7Z3T9_HUMAN Neuropilin OS=Homo sap,7,9,9,9,13.4,104.28,138370000,137630000,160320000,123420000,135940000,139340000,Quantified
E7ENL6,Collagen alpha-3(VI) chain,COL6A3,,E7ENL6;B7ZW00;D9ZGF2;P12111;Q59F25;B4E0A4;Q8N4Z1;Q63HQ4,"E7ENL6_HUMAN Collagen alpha-3(VI) chain OS=Homo sapiens OX=9606 GN=COL6A3 PE=1 SV=2;B7ZW00_HUMAN COL6A3 protein OS=Homo sapiens OX=9606 GN=COL6A3 PE=2 SV=1;D9ZGF2_HUMAN Collagen, type VI, alpha 3 OS=Homo sapiens OX=9606 GN=COL6A3 PE=2 SV=1;CO6A3_HUMAN Coll",8,7,7,7,3.1,278.11,8916800,37227000,,14958000,6046100,204340000,Quantified
B8ZZQ6,Prothymosin alpha,PTMA,,B8ZZQ6;V9HVW6;Q15202;Q8TBK9;Q86YS2;Q53S24;Q15204;P06454;Q15200;B8ZZA1;B8ZZW7;H7C2N1;Q7Z4R6;Q15203;Q7KZ52;Q9UMZ1;Q9NYD3;Q15254;V9HVW7,"B8ZZQ6_HUMAN Prothymosin alpha OS=Homo sapiens OX=9606 GN=PTMA PE=1 SV=1;V9HVW6_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1;Q15202_HUMAN Prothymosin alpha OS=Homo sapiens OX=9606 PE=4 SV=2;Q8TBK9_HUMAN Prothymosin, alpha OS=Homo sapiens",19,5,5,5,36.4,11.758,761800000,679640000,755780000,597630000,504770000,402630000,Quantified
B9A041,"Malate dehydrogenase, cytoplasmic",MDH1,,B9A041;V9HWF2;P40925;B8ZZ51;C9JF79;C9JRL4,"B9A041_HUMAN Malate dehydrogenase, cytoplasmic OS=Homo sapiens OX=9606 GN=MDH1 PE=1 SV=1;V9HWF2_HUMAN Malate dehydrogenase OS=Homo sapiens OX=9606 GN=HEL-S-32 PE=2 SV=1;MDHC_HUMAN Malate dehydrogenase, cytoplasmic OS=Homo sapiens OX=9606 GN=MDH1 PE=1 SV=4;",6,3,3,3,24.8,23.038,83222000,146370000,89739000,96598000,96244000,138790000,Quantified
B9EJA8,"Mannose receptor, C type 1-like 1",MRC1L1,,B9EJA8;P22897;Q0Z8D6;B4DLK9,"B9EJA8_HUMAN Mannose receptor, C type 1-like 1 OS=Homo sapiens OX=9606 GN=MRC1L1 PE=2 SV=1;MRC1_HUMAN Macrophage mannose receptor 1 OS=Homo sapiens OX=9606 GN=MRC1 PE=1 SV=1;Q0Z8D6_HUMAN Mannose receptor OS=Homo sapiens OX=9606 PE=2 SV=1",4,10,10,10,7.5,166.02,260590000,251000000,322640000,235920000,270900000,240420000,Quantified
C0LQF2,Deoxyribonuclease II (Fragment),,,C0LQF2;B3KQS9;A0A024R7F4;O00115,"C0LQF2_HUMAN Deoxyribonuclease II (Fragment) OS=Homo sapiens OX=9606 PE=2 SV=1;B3KQS9_HUMAN cDNA PSEC0141 fis, clone PLACE1005913, highly similar to Deoxyribonuclease-2-alpha OS=Homo sapiens OX=9606 PE=2 SV=1;A0A024R7F4_HUMAN Deoxyribonuclease II, lysosoma",4,2,2,2,9.3,38.181,55162000,126700000,88079000,57038000,112490000,81191000,Quantified
C9J2H1,Inter-alpha-trypsin inhibitor heavy chain H5,ITIH5,,C9J2H1;Q86UX2;A0A096LP62;G5E9D8;Q96JW9;Q96JV8,C9J2H1_HUMAN Inter-alpha-trypsin inhibitor heavy chain H5 OS=Homo sapiens OX=9606 GN=ITIH5 PE=1 SV=2;ITIH5_HUMAN Inter-alpha-trypsin inhibitor heavy chain H5 OS=Homo sapiens OX=9606 GN=ITIH5 PE=2 SV=2;A0A096LP62_HUMAN Inter-alpha-trypsin inhibitor heavy ch,6,6,6,6,6.6,104.54,452340000,301670000,401490000,292320000,297140000,230120000,Quantified
C9J363,"Programmed cell death 10, isoform CRA_b",PDCD10,,C9J363;Q9BUL8;H7C5M9;C9JSA3;C9JND6;C9J6F3;C9J5C3,"C9J363_HUMAN Programmed cell death 10, isoform CRA_b OS=Homo sapiens OX=9606 GN=PDCD10 PE=1 SV=1;PDC10_HUMAN Programmed cell death protein 10 OS=Homo sapiens OX=9606 GN=PDCD10 PE=1 SV=1;H7C5M9_HUMAN Programmed cell death protein 10 (Fragment) OS=Homo sapie",7,2,2,2,24.8,17.534,13752000,15369000,10535000,8878800,12095000,22677000,Quantified
C9J809,DNA mismatch repair protein Msh2 (Fragment),MSH2,,C9J809,C9J809_HUMAN DNA mismatch repair protein Msh2 (Fragment) OS=Homo sapiens OX=9606 GN=MSH2 PE=1 SV=1,1,1,1,1,5,15.337,160820000,268250000,287100000,58438000,405340000,421490000,Quantified
C9JB55,Serotransferrin (Fragment),TF,,C9JB55,C9JB55_HUMAN Serotransferrin (Fragment) OS=Homo sapiens OX=9606 GN=TF PE=1 SV=8,1,7,1,1,82.7,7.99,21459000,,11661000,,980280,5396800,Quantified
D3DUU0,"CD163 antigen, isoform CRA_a",CD163,,D3DUU0;D3DUU2;F5GZZ9;C9JHR8;Q86VB7,"D3DUU0_HUMAN CD163 antigen, isoform CRA_a OS=Homo sapiens OX=9606 GN=CD163 PE=4 SV=1;D3DUU2_HUMAN CD163 antigen, isoform CRA_b OS=Homo sapiens OX=9606 GN=CD163 PE=4 SV=1;F5GZZ9_HUMAN Scavenger receptor cysteine-rich type 1 protein M130 OS=Homo sapiens OX=9",5,5,5,5,6.4,107.42,214620000,261850000,301580000,195380000,301260000,233710000,Quantified
C9JTY3,Protein TFG (Fragment),TFG,,C9JTY3;C9JUE0;C9JJP5;Q7Z427;Q05BK6;Q7Z426;Q8TDJ5;Q92734,C9JTY3_HUMAN Protein TFG (Fragment) OS=Homo sapiens OX=9606 GN=TFG PE=1 SV=1;C9JUE0_HUMAN Protein TFG (Fragment) OS=Homo sapiens OX=9606 GN=TFG PE=1 SV=1;C9JJP5_HUMAN Protein TFG (Fragment) OS=Homo sapiens OX=9606 GN=TFG PE=1 SV=1;Q7Z427_HUMAN Putative MAP,8,1,1,1,7.8,14.759,17021000,,15237000,12808000,14136000,15540000,Quantified
